Case,Steps,Expected outcome,Result,Tester,Build / environment,Actual outcome,Evidence link,Issue
SALE-11,Salesperson asks champion to help with one prospect response; champion replies.,One scoped help assignment; original due date and sales-manager accountability remain. The reply counts automatically; future lead work remains sales-owned.,Not run,,,,,
SALE-12,Receive separate requests for two associations using one property-manager contact.,Ambiguous activity is assigned for review. The system does not guess from a shared number or satisfy the other association's work.,Not run,,,,,
SALE-13,Switch Front conversations while a draft preparation or edit is still pending.,No draft or save lands on the wrong account/conversation.,Not run,,,,,
SALE-14,Delay or replay a captured event using administrator tools in staging.,"Replayed activity does not duplicate outreach, move dates backwards or clear a newer unanswered request.",Not run,,,,,
TEAM-01,Assign two salespeople to different sales managers and the same champion. Let one sales deadline pass.,Only the appropriate manager receives that sales escalation. The champion is not the sales fallback.,Not run,,,,,
TEAM-02,Leave sales work overdue.,"Manager receives escalation at 9 a.m. on the next business morning. If still unhandled after the manager's recovery day, owner receives it next business morning. Both keep visibility until work is handled.",Not run,,,,,
TEAM-03,Read/refresh the report or use “Handle this response.”,Read/administrative actions do not complete work or reset the original deadline. Actual contact is the completion evidence.,Not run,,,,,
TEAM-04,Repeat with an overdue carrier or renewal obligation.,Champion → marketing manager → owner; no sales-manager leakage.,Not run,,,,,
TEAM-05,"Schedule temporary cover, change a manager, then end cover.","Delivery follows current responsibility, dates stay unchanged, and work returns after cover ends. No self-manager or circular-cover choices.",Not run,,,,,
TEAM-06,Disable a responsible test identity or remove valid coverage.,No send to a disabled user; valid cover/management or an owned exception remains. No silent missing work.,Not run,,,,,
TEAM-07,Give one person multiple eligible roles.,"At most one combined edition per person/environment/business date, without self-escalation duplicates.",Not run,,,,,
MAIL-01,Observe a real business-day 9 a.m. run.,"Salespeople and sales managers get one daily report, including a healthy zero. Champions/marketing managers/owner/exception owners receive editions when their scope requires attention.",Not run,,,,,
MAIL-02,Read each role's actual email.,"Why, next action, responsible name, due time, as-of time, counts, links and last relevant human contact are clear. AI email and mere inbound receipt are not mislabeled as human outreach.",Not run,,,,,
MAIL-03,Create more than 20 actionable items for one role in controlled fixtures.,Email explicitly shows there are more items. Current report and CSV expose the full authorized scope.,Not run,,,,,
MAIL-04,Retry the report scheduler after a successful send.,No second edition. A verified Front receipt marks delivery. Reading the report requires no acknowledgement.,Not run,,,,,
MAIL-05,Simulate an uncertain send in the engineering harness; review a corresponding staged case if needed.,No blind resend. Admin can link the original sent Front message; the server checks the edition and recipient. Wrong message is rejected.,Not run,,,,,
MAIL-06,Inspect the internal reporting inbox and CRM communication history.,"Staff report messages never create prospect leads, satisfy outreach, or appear as client conversations.",Not run,,,,,
MAIL-07,Test a recipient outside the staging allowlist.,Sending is blocked with an owned delivery issue. No message reaches that recipient.,Not run,,,,,
CARR-01,Link a carrier conversation. Receive a carrier question.,Champion gets carrier work. Existing client-side work remains distinct.,Not run,,,,,
CARR-02,Correct an existing conversation from prospect to carrier/renewal context.,Open correspondence moves to the correct role and policy. Original deadline and completed history remain intact.,Not run,,,,,
CARR-03,Champion asks sales to obtain underwriting information. Sales sends the request.,Sales outreach is recorded; the underlying information requirement remains. Follow-up stays at two business days while information is owed.,Not run,,,,,
CARR-04,Send an informational prospect update while waiting only on carriers.,It satisfies the weekly prospect update. It does not create an unnecessary two-day chase for a reply the prospect does not owe.,Not run,,,,,
CARR-05,"Add draft, submitted, declined, old-term and partial-coverage quotes.","None falsely satisfies the usable-quote target. Correct term, policy, coverage, premium and offer validity matter.",Not run,,,,,
CARR-06,Record a usable new-business quote. Prepare and actually send its quote email in Front.,Sales presentation is due within one business day. Actual matching sent quote marks presentation; an abandoned draft does not.,Not run,,,,,
CARR-07,"Change quote terms after drafting, or remove its quoted facts from the draft before sending.",It does not silently mark the revised quote as presented. Staff review the current quote; no fabricated completion.,Not run,,,,,
CARR-08,"Use Request binding on the approved quote; cancel once, then record actual client authorization in the normal quote flow.","Cancel does nothing. Authorization creates champion bind work, without marking coverage bound or sending a carrier email by itself.",Not run,,,,,
CARR-09,Send a carrier bind request; subsequently record confirmed binding through the existing bind form.,Sending the request alone does not close the bind milestone. The actual policy closes it. Review begins within one business day and never after the coverage effective date.,Not run,,,,,
CARR-10,Revise quoted terms after client authorization.,Old authorization does not approve changed terms. Review/re-authorization is required; no silent bind on stale approval.,Not run,,,,,
CARR-11,Bind one quote while another new-business quote remains open; then finish the remainder.,Partial bind preserves remaining sales work. Final acquisition handoff stops ordinary lead chasing; champion becomes main client contact.,Not run,,,,,
SERV-01,Bound client requests a certificate; champion acknowledges it.,"Response effort is recorded, but requested certificate delivery remains open.",Not run,,,,,
SERV-02,"Prepare the certificate through the request's button, then prepare its delivery email and send it in Front.",File is tied to the actual request. Confirmed matching file delivery satisfies it. Creating a file or abandoning its email does not.,Not run,,,,,
SERV-03,Repeat with a requested endorsement/policy document.,Same principle: actual associated document and delivery evidence; an unrelated upload cannot clear it.,Not run,,,,,
SERV-04,"Champion assigns a specialist, who sends only an acknowledgement or forwards the request.",Champion keeps client accountability. Assignment/acknowledgement does not pretend the requested result was delivered.,Not run,,,,,
SERV-05,Complete a general service answer through normal correspondence.,Substantive answer can satisfy correspondence; a no-answer attempt or “I'll check” does not. Specific document/bind requirements retain their stronger evidence rules.,Not run,,,,,
REN-01,Use a real policy term 90 days from the test date; allow the source-data sweep to run.,Champion has renewal preparation. Empty generated records alone do not say preparation was done.,Not run,,,,,
REN-02,Send the needed renewal-information request or record an actual carrier submission.,"Initiation is satisfied; remaining information, submission, quote and bind work remains independently tracked.",Not run,,,,,
REN-03,Check carrier-specific submission requirements and a policy 14 days from expiration.,Carrier deadlines drive submissions; usable-quote target is 14 calendar days before expiration. Missing lines/ambiguous terms are owned exceptions.,Not run,,,,,
REN-04,Let the client or carrier owe renewal information.,"Champion gets two-business-day follow-up. Marketing manager, then owner, handle missed obligations.",Not run,,,,,
REN-05,"Test no eligible carrier, expired term and ambiguous renewal quotes.",Placement/context exception remains visible; no false all-clear or arbitrary policy match.,Not run,,,,,
YEAR-01,"Lead incumbent expiration is December 1, 2026. Choose Next year and confirm the displayed dates.","Incumbent becomes December 1, 2027; salesperson returns September 2, 2027 at 9 a.m. Eastern. Source/owners/history stay intact.",Not run,,,,,
YEAR-02,Double-submit/retry the same rollover; separately edit the date concurrently.,One calendar-year move only. Conflicting edit is rejected for review.,Not run,,,,,
YEAR-03,Keep an unanswered request or authorized bind requirement open while deferring ordinary chasing.,Independent work remains tracked. Rollover does not change issued policy dates or erase requests.,Not run,,,,,
YEAR-04,"Change salesperson during the deferred year, then reach return morning.",Current salesperson receives outreach; no new automated introduction; normal cadence resumes from actual contact.,Not run,,,,,
YEAR-05,"Test leap day, weekend/holiday, missing expiration and stale expiration.",Feb 29 clamps to Feb 28; return uses the preceding business morning where needed. Missing date is requested; stale + one year does not secretly jump several years.,Not run,,,,,
SAFE-01,Use an old active account absent from the due queue.,Full account census finds missing work or raises a named exception. A due-index-only check is insufficient.,Not run,,,,,
SAFE-02,"Interrupt the worker, a provider request or a database write in engineering fixtures.",Work remains durable; retries do not cancel it. Incomplete coverage is visible and independent monitoring detects the failure.,Not run,,,,,
SAFE-03,Disconnect the operations alert destination in a controlled setup check.,Readiness fails; a CloudWatch alarm without a confirmed recipient is not accepted as an operating alert path.,Not run,,,,,
SAFE-04,Test Friday/holiday/DST and an existing 5 p.m. business deadline.,Scheduled work arrives in the 9 a.m. Eastern window. Real deadlines and escalation recovery days remain correct.,Not run,,,,,
REG-01,Test all website form variants and retry a failed edited submission.,One valid intake per submission; editable retries recover; readable Front brief and initial AI thread behavior remain intact.,Not run,,,,,
REG-02,"Create leads from Google Ad Website, Organic Website, Phone, Email, Meta Ad and Property Manager.","Correct source choices; source is set at creation, then protected. Organic and ad website attribution remain distinct.",Not run,,,,,
REG-03,View lead work and activity.,Last contact date/time is visible and accurately distinguishes relevant human effort. Provider IDs stay protected behind deliberate administrative editing.,Not run,,,,,
REG-04,Download each dashboard report with filters applied.,"Usable export matches the displayed report scope, including empty and larger results.",Not run,,,,,
REG-05,"Check finance, licensing, invoices and existing policy screens.",Existing functions and unrelated reminders still work. Only overlapping sales/marketing report sections are consolidated.,Not run,,,,,
